                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.64626,                0.74071,                0.94889,                0.50129,                0.59987,                0.42581,                0.24481,                 1.8571,                 2.8197,                 1.7484,             0.00011066,             0.00011066,             0.00011066
                     77,                0.62863,                0.75461,                0.93785,                0.52113,                0.59343,                0.42586,                0.23806,                 1.8449,                 2.8328,                 1.7499,             0.00010293,             0.00010293,             0.00010293
                     78,                  0.656,                0.76815,                 0.9598,                0.56995,                0.58582,                0.46476,                0.25086,                 1.8179,                 2.8266,                 1.7261,             9.5458e-05,             9.5458e-05,             9.5458e-05
                     79,                0.61099,                0.73401,                0.94028,                0.48315,                0.59381,                0.42142,                0.23447,                 1.8004,                 2.7936,                 1.7085,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     80,                0.61874,                0.75038,                0.94753,                0.45419,                0.62667,                0.39781,                0.22519,                 1.7996,                 2.8267,                 1.7072,             8.1306e-05,             8.1306e-05,             8.1306e-05
                     81,                0.62514,                0.74634,                0.94999,                0.44805,                0.62701,                0.39827,                0.22004,                 1.8002,                 2.8173,                 1.7132,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     82,                0.61533,                 0.7363,                 0.9401,                 0.4575,                 0.6208,                 0.4187,                0.22016,                 1.7981,                 2.8264,                 1.7091,             6.8255e-05,             6.8255e-05,             6.8255e-05
                     83,                0.60271,                0.72759,                0.93543,                0.44173,                0.61029,                0.41601,                0.22299,                 1.8177,                 2.8878,                 1.7258,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     84,                0.60188,                0.73872,                0.94933,                0.48537,                0.59115,                0.42261,                0.22751,                 1.8205,                 2.8817,                 1.7312,             5.6358e-05,             5.6358e-05,             5.6358e-05
                     85,                0.58065,                 0.7172,                0.92592,                0.60952,                0.56954,                0.46372,                0.24006,                  1.835,                 2.8995,                 1.7364,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     86,                0.60626,                0.74626,                0.94191,                0.61216,                0.58055,                0.47445,                0.23383,                 1.8431,                 2.8936,                 1.7404,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     87,                0.60011,                0.72526,                0.94168,                0.61739,                0.57832,                0.46498,                0.23254,                 1.8447,                 2.8671,                 1.7389,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     88,                0.59081,                0.70187,                0.92807,                0.60761,                0.58163,                0.46525,                  0.237,                 1.8408,                 2.8677,                 1.7241,             3.6208e-05,             3.6208e-05,             3.6208e-05
                     89,                0.59636,                0.70501,                0.93002,                0.61396,                0.58451,                0.46478,                0.23009,                 1.8298,                  2.839,                 1.7131,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     90,                0.58193,                0.70252,                0.91724,                0.61854,                0.58346,                0.46731,                 0.2339,                 1.8261,                 2.8317,                 1.7094,             2.8035e-05,             2.8035e-05,             2.8035e-05
                     91,                0.57986,                0.71085,                0.92865,                0.63025,                0.58917,                0.47792,                0.23839,                 1.8267,                 2.8383,                 1.7085,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     92,                0.58697,                0.70244,                0.91316,                0.63201,                0.58038,                0.46849,                0.23426,                 1.8131,                 2.8237,                  1.694,             2.1173e-05,             2.1173e-05,             2.1173e-05
                     93,                0.57334,                0.69999,                0.91544,                0.63438,                0.58866,                0.47043,                0.23767,                 1.8216,                 2.8382,                 1.7043,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     94,                0.56859,                0.70173,                0.91881,                0.61481,                0.58606,                0.47795,                0.24281,                 1.8323,                 2.8486,                 1.7166,             1.5652e-05,             1.5652e-05,             1.5652e-05
                     95,                0.56932,                0.69119,                0.90859,                0.62601,                 0.5892,                0.47881,                0.24286,                  1.837,                 2.8611,                 1.7099,               1.34e-05,               1.34e-05,               1.34e-05
                     96,                0.60248,                0.73747,                0.92175,                0.62928,                0.59306,                0.47884,                0.24207,                 1.8424,                 2.8534,                  1.719,             1.1491e-05,             1.1491e-05,             1.1491e-05
                     97,                0.59907,                0.72863,                0.93929,                0.60241,                0.59012,                0.47649,                0.24275,                 1.8399,                 2.8418,                 1.7194,             9.9269e-06,             9.9269e-06,             9.9269e-06
                     98,                0.57977,                0.72304,                0.93114,                0.58809,                0.58943,                0.47748,                0.24293,                  1.846,                 2.8403,                 1.7313,             8.7085e-06,             8.7085e-06,             8.7085e-06
                     99,                0.58893,                0.70857,                0.93301,                0.61921,                0.59025,                0.47915,                0.23846,                 1.8542,                  2.845,                 1.7396,             7.8374e-06,             7.8374e-06,             7.8374e-06
                      0,                 2.1195,                 4.4727,                 2.0527,                0.00432,                0.57447,                0.01342,                 0.0063,                 1.7895,                 3.9857,                 1.6661,               0.000125,               0.000125,               0.000125
                      1,                 1.9005,                 3.8025,                 1.8444,                0.00639,                0.57447,                0.05597,                0.04036,                 1.5503,                 3.7436,                 1.4618,             0.00026244,             0.00026244,             0.00026244
                      2,                 1.8188,                 3.2012,                 1.7514,                 0.0069,                0.59574,                0.06159,                0.03057,                 1.8034,                 3.5561,                 1.6316,             0.00039961,             0.00039961,             0.00039961
                      3,                 1.7404,                 2.9184,                 1.6902,                 0.0108,                0.67021,                0.16621,                0.06241,                 1.7116,                 3.2363,                  1.568,             0.00053632,             0.00053632,             0.00053632
                      4,                 1.6485,                 2.6686,                 1.6415,                      1,                0.02511,                 0.1521,                0.07844,                 1.7269,                 3.4163,                 1.5903,             0.00067237,             0.00067237,             0.00067237
                      5,                 1.6101,                 2.4553,                 1.6112,                      1,                0.03007,                0.12525,                0.06275,                 1.7728,                 3.4573,                 1.5918,             0.00080755,             0.00080755,             0.00080755
                      6,                 1.6107,                 2.3955,                 1.5687,                      1,                0.01794,                0.62807,                0.22271,                 1.8019,                 3.3718,                 1.5305,             0.00094167,             0.00094167,             0.00094167
                      7,                 1.6331,                  2.294,                 1.5665,                0.16206,                0.50835,                0.16921,                0.09077,                 2.0012,                 3.3154,                 1.7787,              0.0010745,              0.0010745,              0.0010745
                      8,                 1.5743,                 2.2504,                 1.5438,                0.21357,                0.54255,                0.09778,                0.05761,                 1.8719,                  3.282,                 1.7291,              0.0012059,              0.0012059,              0.0012059
                      9,                 1.5811,                  2.241,                  1.565,                0.61115,                    0.5,                0.28451,                0.11785,                 1.9315,                 3.9481,                  1.795,              0.0012254,              0.0012254,              0.0012254
                     10,                 1.5456,                 2.1076,                 1.5497,                0.09089,                0.60638,                0.06049,                 0.0254,                 1.9529,                 3.4268,                 1.7551,              0.0012254,              0.0012254,              0.0012254
                     11,                 1.4979,                 2.0179,                 1.5062,                 0.1903,                0.10638,                0.10199,                0.04877,                  1.963,                 3.0619,                 1.9451,              0.0012197,              0.0012197,              0.0012197
                     12,                 1.4561,                 2.0069,                 1.4946,                0.09502,                0.06383,                0.07286,                0.03676,                 1.9107,                 3.1132,                 1.8392,              0.0012134,              0.0012134,              0.0012134
                     13,                 1.4682,                 1.9593,                 1.4831,                0.44715,                0.56383,                 0.2233,                0.09945,                 1.9101,                 2.8266,                 1.7046,              0.0012065,              0.0012065,              0.0012065
                     14,                 1.4414,                 1.8787,                 1.4289,                0.30904,                0.61702,                 0.1464,                0.08133,                 1.8775,                 3.1764,                 1.6739,              0.0011991,              0.0011991,              0.0011991
                     15,                 1.4344,                 1.7849,                 1.4262,                0.37273,                0.61702,                0.16212,                0.08435,                  2.052,                 3.4051,                 1.8366,              0.0011911,              0.0011911,              0.0011911
                     16,                 1.3481,                 1.6894,                 1.3828,                0.48433,                 0.6118,                0.19004,                0.10025,                 1.9413,                 2.7598,                 1.7615,              0.0011826,              0.0011826,              0.0011826
                     17,                 1.3805,                 1.5827,                 1.4138,                0.26091,                0.67021,                0.21653,                0.12091,                 1.8038,                 2.0755,                 1.8148,              0.0011735,              0.0011735,              0.0011735
                     18,                 1.3976,                 1.5742,                 1.3967,                 0.2713,                0.67021,                0.20972,                0.09533,                 1.9699,                 2.1049,                 1.9503,              0.0011638,              0.0011638,              0.0011638
                     19,                 1.3561,                 1.5986,                 1.3927,                 0.1538,                0.18085,                0.15387,                0.07373,                 1.9165,                 2.4701,                 1.8331,              0.0011537,              0.0011537,              0.0011537
                     20,                 1.3089,                 1.4547,                 1.3638,                0.24975,                0.65974,                0.20926,                0.09492,                  2.047,                 2.2086,                 1.8992,               0.001143,               0.001143,               0.001143
                     21,                 1.2677,                 1.4354,                 1.2985,                 0.8179,                0.51507,                0.66306,                0.17073,                 2.0107,                 2.2383,                 1.8452,              0.0011318,              0.0011318,              0.0011318
                     22,                 1.2694,                 1.3933,                 1.2997,                0.79614,                    0.5,                0.61652,                0.23775,                 2.2278,                  2.362,                 1.9364,              0.0011202,              0.0011202,              0.0011202
                     23,                 1.2355,                 1.3744,                 1.2746,                0.24203,                0.64894,                0.21179,                0.12288,                 1.9387,                 2.1266,                 1.8079,               0.001108,               0.001108,               0.001108
                     24,                 1.2516,                 1.3952,                 1.3105,                0.62977,                0.63166,                0.39847,                0.28418,                 2.0821,                 2.2774,                 1.8495,              0.0010954,              0.0010954,              0.0010954
                     25,                 1.1613,                 1.3184,                 1.2716,                0.43409,                0.58511,                0.23486,                0.12794,                 1.9979,                 2.6446,                 1.8165,              0.0010823,              0.0010823,              0.0010823
                     26,                 1.2409,                 1.2992,                 1.2793,                0.38346,                0.57447,                0.24891,                0.13354,                 2.1453,                 2.8867,                 1.8118,              0.0010688,              0.0010688,              0.0010688
                     27,                  1.165,                 1.2278,                 1.2453,                0.34398,                0.61702,                0.16983,                0.08212,                  2.151,                 2.7988,                 1.9009,              0.0010548,              0.0010548,              0.0010548
                     28,                 1.1726,                 1.1728,                 1.2641,                 0.3358,                 0.1383,                0.18073,                0.09163,                 2.0654,                 2.3782,                 1.8172,              0.0010404,              0.0010404,              0.0010404
                     29,                 1.1759,                 1.1393,                 1.2396,                 0.2915,                0.54886,                0.20799,                0.10405,                 1.9469,                  2.213,                 1.6799,              0.0010257,              0.0010257,              0.0010257
                     30,                 1.0965,                 1.1167,                 1.2174,                0.32566,                0.65957,                0.21688,                 0.1348,                 2.0047,                 2.1273,                 1.7078,              0.0010105,              0.0010105,              0.0010105
                     31,                 1.1266,                 1.1058,                 1.2231,                0.32802,                 0.6383,                0.23002,                0.12313,                 2.1359,                 2.2671,                 1.7698,             0.00099494,             0.00099494,             0.00099494
                     32,                  1.101,                 1.0834,                 1.1567,                0.44047,                0.57617,                0.33655,                0.19852,                 2.0386,                 2.1792,                 1.7477,             0.00097904,             0.00097904,             0.00097904
                     33,                 1.0825,                 1.0509,                 1.1918,                0.66924,                0.67021,                0.67448,                0.40317,                 1.7947,                 1.9333,                 1.6507,             0.00096279,             0.00096279,             0.00096279
                     34,                 1.0937,                 1.0488,                 1.1988,                0.18562,                0.19149,                0.21431,                0.10162,                 1.8517,                 2.1834,                 1.6621,             0.00094622,             0.00094622,             0.00094622
                     35,                 1.0649,                 1.0055,                 1.1839,                0.26602,                0.15957,                0.14828,                0.07947,                 1.8391,                 2.1055,                 1.6946,             0.00092934,             0.00092934,             0.00092934
                     36,                 1.0105,                0.94339,                 1.1494,                0.22136,                0.19443,                0.18865,                0.09369,                 1.8887,                 1.9172,                 1.7148,             0.00091216,             0.00091216,             0.00091216
                     37,                 1.0331,                0.96063,                 1.1496,                0.34937,                0.14894,                0.20552,                0.09547,                 2.0246,                  2.055,                   1.89,              0.0008947,              0.0008947,              0.0008947
                     38,                 0.9735,                0.89322,                 1.1201,                0.82927,                0.61036,                0.66589,                0.13881,                 2.0576,                 2.1358,                 1.8907,             0.00087699,             0.00087699,             0.00087699
                     39,                0.99179,                0.86846,                 1.1255,                0.86448,                 0.5984,                 0.6756,                0.15341,                  1.981,                 2.2277,                  1.855,             0.00085903,             0.00085903,             0.00085903
                     40,                0.96519,                0.87903,                 1.0989,                0.89535,                0.57675,                0.67298,                0.14885,                 1.9992,                 2.2527,                 1.8586,             0.00084084,             0.00084084,             0.00084084
                     41,                0.93144,                0.85325,                 1.1056,                0.89075,                0.61183,                0.68297,                 0.1563,                  1.999,                 2.0432,                 1.8706,             0.00082245,             0.00082245,             0.00082245
                     42,                0.94464,                0.84365,                 1.0842,                0.84094,                0.62766,                0.67776,                0.15887,                 1.8994,                 1.9439,                 1.8452,             0.00080388,             0.00080388,             0.00080388
                     43,                0.90913,                0.80182,                 1.0666,                0.90208,                0.62358,                0.66117,                0.15603,                 1.9459,                 2.0426,                 1.7852,             0.00078513,             0.00078513,             0.00078513
                     44,                0.94792,                0.83852,                 1.1173,                0.93653,                0.63206,                0.66508,                0.15636,                 1.8808,                 2.0716,                 1.6968,             0.00076623,             0.00076623,             0.00076623
                     45,                0.93123,                0.81485,                 1.0917,                0.85022,                0.62766,                0.65681,                0.22448,                 1.9291,                 2.1243,                 1.7034,             0.00074719,             0.00074719,             0.00074719
                     46,                0.88921,                0.79069,                 1.0558,                0.87933,                0.57447,                0.65003,                0.16193,                 1.8971,                 2.3161,                 1.6313,             0.00072804,             0.00072804,             0.00072804
                     47,                 0.8615,                0.76513,                 1.0503,                0.87912,                0.59214,                0.65532,                0.31998,                  1.917,                 2.1073,                 1.6171,              0.0007088,              0.0007088,              0.0007088
                     48,                0.86718,                0.73694,                 1.0551,                0.58377,                0.67606,                0.42794,                0.26475,                 1.8559,                 1.9345,                 1.6618,             0.00068948,             0.00068948,             0.00068948
                     49,                0.86176,                0.72835,                 1.0527,                0.36526,                0.70213,                0.30323,                0.18972,                 1.8579,                 2.0617,                 1.6385,              0.0006701,              0.0006701,              0.0006701
                     50,                0.85574,                0.72868,                 1.0423,                0.23627,                0.19149,                0.24594,                0.13962,                   1.86,                 2.2378,                 1.6223,             0.00065069,             0.00065069,             0.00065069
                     51,                0.87023,                0.72841,                 1.0476,                0.38254,                0.15957,                0.21217,                0.11457,                 1.9145,                 2.1431,                 1.7463,             0.00063125,             0.00063125,             0.00063125
                     52,                0.85263,                0.72411,                 1.0345,                0.36782,                0.15957,                0.20101,                0.11685,                 1.8505,                 2.0421,                 1.6906,             0.00061181,             0.00061181,             0.00061181
                     53,                0.82561,                0.69639,                 1.0354,                0.34854,                0.15957,                0.19181,                0.11104,                 1.7534,                 2.1049,                 1.6149,              0.0005924,              0.0005924,              0.0005924
                     54,                0.78675,                0.67671,                0.99715,                 0.4287,                0.14894,                0.20351,                0.10338,                 2.0141,                 2.3102,                 1.8249,             0.00057302,             0.00057302,             0.00057302
                     55,                0.79653,                0.66218,                 1.0205,                0.27217,                0.18085,                0.19777,                0.09599,                 2.0671,                 2.2897,                 1.8075,              0.0005537,              0.0005537,              0.0005537
                     56,                0.77459,                0.65802,                0.99689,                0.27184,                0.17753,                0.20308,                 0.0908,                 2.0461,                 2.3329,                  1.786,             0.00053446,             0.00053446,             0.00053446
                     57,                 0.7879,                 0.6572,                0.99694,                0.32709,                0.16104,                0.22775,                  0.104,                 2.0579,                 2.3591,                 1.7742,             0.00051531,             0.00051531,             0.00051531
                     58,                0.75956,                0.63376,                0.98409,                0.27694,                0.17175,                0.27045,                0.12357,                 2.0065,                 2.1365,                 1.7782,             0.00049627,             0.00049627,             0.00049627
                     59,                0.74094,                0.62663,                0.99983,                0.32995,                0.14461,                0.22406,                 0.1187,                 1.9852,                 2.1632,                 1.7497,             0.00047737,             0.00047737,             0.00047737
                     60,                0.72389,                0.61292,                0.96634,                0.83142,                 0.1465,                0.19137,                 0.1085,                  1.972,                 2.2288,                 1.7525,             0.00045862,             0.00045862,             0.00045862
                     61,                0.71974,                0.61139,                0.98186,                0.31931,                0.15957,                 0.1967,                0.10583,                 1.9408,                 2.3325,                 1.7571,             0.00044005,             0.00044005,             0.00044005
                     62,                0.72129,                0.60123,                0.95829,                0.83893,                0.15957,                0.19611,                0.10032,                 1.9752,                 2.5064,                  1.775,             0.00042166,             0.00042166,             0.00042166
                     63,                0.71709,                0.61446,                0.98521,                0.81816,                0.17021,                0.20239,                 0.1045,                 1.9849,                 2.2835,                 1.8063,             0.00040347,             0.00040347,             0.00040347
                     64,                0.73667,                0.61517,                 0.9741,                0.79177,                0.15957,                0.19574,                0.10622,                 1.9278,                 2.1995,                  1.798,             0.00038551,             0.00038551,             0.00038551
                     65,                0.69137,                  0.588,                 0.9459,                0.27972,                0.17571,                0.19749,                0.11093,                  1.868,                 2.1409,                 1.7519,              0.0003678,              0.0003678,              0.0003678
                     66,                0.67134,                0.57494,                 0.9494,                0.40116,                0.14894,                0.30686,                0.12003,                 1.8344,                 2.3014,                 1.6677,             0.00035034,             0.00035034,             0.00035034
                     67,                0.68263,                0.58384,                0.94956,                0.58577,                0.58026,                0.43959,                0.13055,                 1.8724,                 2.4593,                 1.6608,             0.00033316,             0.00033316,             0.00033316
                     68,                0.64271,                0.55592,                0.93507,                0.36137,                0.16649,                0.28377,                0.11436,                 1.8663,                   2.53,                 1.6619,             0.00031628,             0.00031628,             0.00031628
                     69,                0.65995,                0.54697,                0.94587,                0.34063,                0.16512,                 0.3079,                 0.1256,                 1.8607,                 2.5468,                 1.6627,             0.00029971,             0.00029971,             0.00029971
                     70,                0.64972,                0.56109,                0.92824,                0.30775,                0.15337,                0.30945,                0.12405,                 1.8724,                 2.5044,                 1.6555,             0.00028346,             0.00028346,             0.00028346
                     71,                0.62793,                0.55105,                0.92873,                 0.4099,                0.54335,                0.35547,                0.13352,                 1.7887,                 2.3443,                 1.6225,             0.00026756,             0.00026756,             0.00026756
                     72,                0.64037,                0.53903,                0.92668,                0.29236,                0.17021,                0.31242,                 0.1396,                 1.7817,                  2.417,                 1.6135,             0.00025201,             0.00025201,             0.00025201
                     73,                0.60782,                 0.5233,                0.90484,                0.86273,                0.16873,                 0.2371,                0.12166,                 1.8281,                 2.4627,                 1.6521,             0.00023684,             0.00023684,             0.00023684
                     74,                0.61136,                0.53956,                0.91748,                0.34092,                0.15957,                0.22793,                0.12198,                 1.8036,                 2.4666,                 1.6415,             0.00022206,             0.00022206,             0.00022206
                     75,                0.60647,                0.52224,                0.91358,                0.90358,                0.15957,                0.23156,                0.12244,                 1.7445,                 2.4335,                 1.6281,             0.00020769,             0.00020769,             0.00020769
                     76,                0.61041,                 0.5222,                0.92102,                0.90052,                0.15957,                0.25333,                0.12688,                 1.7622,                 2.4169,                 1.6432,             0.00019373,             0.00019373,             0.00019373
                     77,                0.58105,                 0.5284,                0.91377,                 0.3701,                0.17021,                0.32402,                0.12565,                 1.8059,                 2.4624,                 1.6616,              0.0001802,              0.0001802,              0.0001802
                     78,                0.60236,                0.52337,                  0.923,                 0.8507,                0.17021,                0.36527,                0.13669,                 1.8207,                 2.4047,                 1.6733,             0.00016712,             0.00016712,             0.00016712
                     79,                0.55814,                0.49788,                0.91086,                0.82195,                0.17321,                0.36397,                 0.1401,                  1.838,                 2.3176,                 1.6855,             0.00015449,             0.00015449,             0.00015449
                     80,                0.57117,                0.50842,                0.90915,                0.81301,                0.17021,                0.36413,                0.14415,                 1.8512,                  2.309,                 1.6972,             0.00014234,             0.00014234,             0.00014234
                     81,                0.59115,                 0.5255,                0.92093,                0.83034,                0.18085,                0.32273,                0.14696,                  1.827,                 2.2996,                 1.6943,             0.00013067,             0.00013067,             0.00013067
                     82,                0.57639,                0.49499,                0.90796,                0.82212,                0.18085,                0.29904,                0.13553,                 1.8407,                 2.3177,                 1.6957,             0.00011949,             0.00011949,             0.00011949
                     83,                 0.5609,                0.50041,                0.90714,                0.84347,                0.18085,                0.26711,                0.13616,                 1.8331,                 2.3517,                 1.6988,             0.00010882,             0.00010882,             0.00010882
